,distance,consumption,status,type
0,56733,8,young,car
1,145842,17,used,truck
2,13295,6,young,car
3,232868,16,used,truck
4,282487,17,old,truck
5,173224,10,used,car
6,106964,15,used,truck
7,175549,0,used,electric
8,57950,14,young,truck
9,79694,4,young,car
10,36664,17,young,truck
11,222739,7,used,car
12,204379,4,used,car
13,32236,7,young,car
14,263773,0,old,electric
15,270865,13,old,truck
16,128186,18,used,truck
17,87914,18,young,truck
18,248884,6,used,car
19,21512,2,young,car
20,217508,15,used,truck
21,269918,18,old,truck
22,284018,17,old,truck
23,108022,18,used,truck
24,41825,3,young,car
25,1959,17,young,truck
26,141595,19,used,truck
27,140800,19,used,truck
28,287878,0,old,electric
29,69988,1,young,electric
30,26176,12,young,truck
31,6757,8,young,car
32,254892,6,old,car
33,50250,11,young,truck
34,169633,13,used,truck
35,47051,15,young,truck
36,223515,12,used,truck
37,210805,8,used,car
38,51434,10,young,car
39,88497,14,young,truck
40,277386,8,old,car
41,255978,3,old,car
42,268633,8,old,car
43,54772,7,young,car
44,178094,4,used,car
45,123488,17,used,truck
46,56325,14,young,truck
47,299445,9,old,car
48,286554,11,old,truck
49,16358,18,young,truck
50,80640,12,young,truck
51,35816,2,young,car
52,171952,9,used,car
53,138251,9,used,car
54,693,4,young,car
55,18133,10,young,car
56,244928,5,used,car
57,295483,3,old,car
58,213664,15,used,truck
59,101453,0,used,electric
60,84777,4,young,car
61,51120,9,young,car
62,32155,0,young,electric
63,290879,6,old,car
64,51121,2,young,car
65,200789,1,used,electric
66,38785,15,young,truck
67,144723,10,used,car
68,257515,2,old,car
69,293772,9,old,car
70,35077,11,young,truck
71,272066,18,old,truck
72,264793,8,old,car
73,201372,16,used,truck
74,53693,17,young,truck
75,213152,12,used,truck
76,220674,7,used,car
77,276435,17,old,truck
78,261425,1,old,electric
79,6309,8,young,car
80,71994,2,young,car
81,84269,2,young,car
82,52678,4,young,car
83,21551,2,young,car
84,276854,17,old,truck
85,109672,11,used,truck
86,6691,10,young,car
87,234971,17,used,truck
88,109585,12,used,truck
89,6116,3,young,car
90,33903,6,young,car
91,245238,19,used,truck
92,228155,5,used,car
93,143695,4,used,car
94,11337,13,young,truck
95,271223,18,old,truck
96,208454,10,used,car
97,228143,5,used,car
98,66494,2,young,car
99,292761,2,old,car
100,80739,11,young,truck
101,210515,0,used,electric
102,80200,13,young,truck
103,149571,4,used,car
104,51808,19,young,truck
105,92070,10,young,car
106,189657,5,used,car
107,163721,12,used,truck
108,148286,7,used,car
109,38812,0,young,electric
110,100128,10,used,car
111,77820,18,young,truck
112,79443,10,young,car
113,63742,2,young,car
114,91458,4,young,car
115,219027,0,used,electric
116,225997,8,used,car
117,1987,0,young,electric
118,287144,3,old,car
119,37799,0,young,electric
120,153910,3,used,car
121,237412,13,used,truck
122,146052,19,used,truck
123,55332,1,young,electric
124,211846,1,used,electric
125,156570,4,used,car
126,218130,1,used,electric
127,126869,11,used,truck
128,259313,5,old,car
129,193292,5,used,car
