,registered,number,text,letter,voivodeship,country
0,2014-04-24,B0 ABA,ABA,B,podlaskie,Poland
1,2012-02-13,B0 ABC,ABC,B,podlaskie,Poland
2,2006-06-17,B0 ADAM,ADAM,B,podlaskie,Poland
3,2010-06-03,B0 ADAM1,ADAM1,B,podlaskie,Poland
4,2018-07-16,B0 ADEK,ADEK,B,podlaskie,Poland
5,2012-02-21,B0 ADHD,ADHD,B,podlaskie,Poland
6,2019-08-15,B0 ADZIO,ADZIO,B,podlaskie,Poland
7,2005-05-18,B0 AGA,AGA,B,podlaskie,Poland
8,2007-08-12,B0 AGAWA,AGAWA,B,podlaskie,Poland
9,2011-04-14,B0 AGENT,AGENT,B,podlaskie,Poland
10,2016-04-27,B0 AGMET,AGMET,B,podlaskie,Poland
11,2005-05-21,B0 AGNES,AGNES,B,podlaskie,Poland
12,2009-05-31,B0 AGRO2,AGRO2,B,podlaskie,Poland
13,2008-08-19,B0 AGRO4,AGRO4,B,podlaskie,Poland
14,2008-07-23,B0 AGRO5,AGRO5,B,podlaskie,Poland
15,2009-06-27,B0 AGRO8,AGRO8,B,podlaskie,Poland
16,2010-04-11,B0 AGRO9,AGRO9,B,podlaskie,Poland
17,2011-01-25,B0 AKTIO,AKTIO,B,podlaskie,Poland
18,2005-12-06,B0 ALBO,ALBO,B,podlaskie,Poland
19,2006-02-21,B0 ALDO,ALDO,B,podlaskie,Poland
20,2015-12-15,B0 ALEX,ALEX,B,podlaskie,Poland
21,2006-09-16,B0 ALFA,ALFA,B,podlaskie,Poland
22,2017-04-25,B0 ALUS,ALUS,B,podlaskie,Poland
23,2007-08-29,B0 AMARO,AMARO,B,podlaskie,Poland
24,2011-05-31,B0 AMELA,AMELA,B,podlaskie,Poland
25,2012-06-28,B0 AMG,AMG,B,podlaskie,Poland
26,2014-07-28,B0 AMG45,AMG45,B,podlaskie,Poland
27,2014-12-11,B0 AMIRA,AMIRA,B,podlaskie,Poland
28,2016-06-05,B0 ANDZO,ANDZO,B,podlaskie,Poland
29,2006-02-03,B0 ANEKS,ANEKS,B,podlaskie,Poland
30,2011-09-01,B0 ANETA,ANETA,B,podlaskie,Poland
31,2009-11-26,B0 ANGEL,ANGEL,B,podlaskie,Poland
32,2005-03-03,B0 ANIA,ANIA,B,podlaskie,Poland
33,2019-05-26,B0 ANICK,ANICK,B,podlaskie,Poland
34,2017-08-09,B0 ANKA,ANKA,B,podlaskie,Poland
35,2017-03-31,B0 ANLES,ANLES,B,podlaskie,Poland
36,2006-01-25,B0 ANNA,ANNA,B,podlaskie,Poland
37,2015-03-07,B0 ANTEK,ANTEK,B,podlaskie,Poland
38,2013-10-12,B0 ANTON,ANTON,B,podlaskie,Poland
39,2007-09-08,B0 ARIER,ARIER,B,podlaskie,Poland
40,2017-12-08,B0 ARKON,ARKON,B,podlaskie,Poland
41,2013-10-10,B0 ARM,ARM,B,podlaskie,Poland
42,2019-03-07,B0 ARN14,ARN14,B,podlaskie,Poland
43,2015-10-30,B0 ART,ART,B,podlaskie,Poland
44,2011-01-25,B0 AS8,AS8,B,podlaskie,Poland
